ts_code,industry,score
603578.SH,玻璃,1.0
600176.SH,玻璃,0.9473684210526315
300196.SZ,玻璃,0.8947368421052632
002887.SZ,环境保护,1.0
688021.SH,环境保护,0.9850746268656716
603568.SH,环境保护,0.9701492537313433
300779.SZ,环境保护,0.9552238805970149
300072.SZ,环境保护,0.9402985074626866
300786.SZ,环境保护,0.9253731343283582
603200.SH,环境保护,0.9104477611940298
300272.SZ,环境保护,0.8955223880597015
603279.SH,环境保护,0.8805970149253731
600507.SH,特种钢,1.0
601088.SH,煤炭开采,1.0
601225.SH,煤炭开采,0.9655172413793104
002128.SZ,煤炭开采,0.9310344827586207
600985.SH,煤炭开采,0.896551724137931
000723.SZ,焦炭加工,1.0
002608.SZ,火力发电,1.0
600483.SH,火力发电,0.9666666666666667
000600.SZ,火力发电,0.9333333333333333
600023.SH,火力发电,0.9
001872.SZ,港口,1.0
601298.SH,港口,0.9473684210526315
000582.SZ,港口,0.8947368421052632
300094.SZ,渔业,1.0
688288.SH,汽车配件,1.0
300695.SZ,汽车配件,0.9924812030075187
603786.SH,汽车配件,0.9849624060150376
603730.SH,汽车配件,0.9774436090225563
002965.SZ,汽车配件,0.9699248120300752
603037.SH,汽车配件,0.9624060150375939
601799.SH,汽车配件,0.9548872180451128
002920.SZ,汽车配件,0.9473684210526315
300473.SZ,汽车配件,0.9398496240601504
603596.SH,汽车配件,0.9323308270676691
000581.SZ,汽车配件,0.924812030075188
603121.SH,汽车配件,0.9172932330827067
603788.SH,汽车配件,0.9097744360902256
603305.SH,汽车配件,0.9022556390977443
603197.SH,汽车配件,0.8947368421052632
600741.SH,汽车配件,0.8872180451127819
603377.SH,汽车服务,1.0
300100.SZ,汽车服务,0.8888888888888888
601238.SH,汽车整车,1.0
600104.SH,汽车整车,0.9523809523809523
600066.SH,汽车整车,0.9047619047619048
603167.SH,水运,1.0
002320.SZ,水运,0.9166666666666666
600585.SH,水泥,1.0
000672.SZ,水泥,0.95
600801.SH,水泥,0.9
600323.SH,水务,1.0
601158.SH,水务,0.9090909090909091
600995.SH,水力发电,1.0
600452.SH,水力发电,0.9523809523809523
600900.SH,水力发电,0.9047619047619048
300767.SZ,橡胶,1.0
300731.SZ,橡胶,0.9166666666666666
300758.SZ,染料涂料,1.0
603790.SH,染料涂料,0.95
603980.SH,染料涂料,0.9
002679.SZ,林业,1.0
603187.SH,机械基件,1.0
603040.SH,机械基件,0.9861111111111112
603890.SH,机械基件,0.9722222222222222
300718.SZ,机械基件,0.9583333333333334
603985.SH,机械基件,0.9444444444444444
002850.SZ,机械基件,0.9305555555555556
603915.SH,机械基件,0.9166666666666666
603356.SH,机械基件,0.9027777777777778
002896.SZ,机械基件,0.8888888888888888
603185.SH,机床制造,1.0
002943.SZ,机床制造,0.9166666666666666
600009.SH,机场,1.0
603587.SH,服饰,1.0
002867.SZ,服饰,0.9818181818181818
002832.SZ,服饰,0.9636363636363636
600398.SH,服饰,0.9454545454545454
600612.SH,服饰,0.9272727272727272
603900.SH,服饰,0.9090909090909091
002763.SZ,服饰,0.8909090909090909
002110.SZ,普钢,1.0
000717.SZ,普钢,0.96
601003.SH,普钢,0.92
603983.SH,日用化工,1.0
603605.SH,日用化工,0.9
601888.SH,旅游服务,1.0
600138.SH,旅游服务,0.9166666666666666
603136.SH,旅游景点,1.0
